						1.90000	-0.38000	32.54800	6.50000	-0.38005	43.04762	-44.9901421	26.146867
						2.00000	-0.38000	32.67500	6.50000	-0.38006	36.89695	-46.2404280	26.249448
						2.10000	-0.37000	32.68700	6.50000	-0.37006	-4.55263	43.7593393	26.258718
						2.20000	-0.37000	32.66000	6.50000	-0.37006	-9.12235	40.0417197	26.236910
						2.30000	-0.36000	32.66300	6.50000	-0.36006	18.41889	-49.9578708	26.238907
						2.40000	-0.36000	32.69600	6.50000	-0.36007	28.70078	-44.9896929	26.265561
						2.50000	-0.36000	32.72800	6.50000	-0.36007	37.71934	-44.9897032	26.291408
						2.60000	-0.36000	32.81500	6.50000	-0.36007	37.64424	-44.6268208	26.361674
						2.80000	-0.37000	32.84300	6.50000	-0.37008	33.19059	-44.6267453	26.384718
						2.90000	-0.37000	32.90700	6.50000	-0.37008	20.08882	1.1039600	26.436414
						3.00000	-0.37000	32.90700	6.50000	-0.37008	-9.82296	93.2909664	26.436414
						3.10000	-0.35000	32.89300	6.50000	-0.35009	-16.20895	-37.3502062	26.424243
						3.10000	-0.36000	32.89700	6.50000	-0.36009	-16.20895	-37.3502062	26.427904
						3.20000	-0.35000	32.89100	6.50000	-0.35009	-0.80711	47.5634279	26.422625
						3.30000	-0.35000	32.89600	6.50000	-0.35009	17.70085	-44.9884980	26.426664
						3.40000	-0.35000	32.91900	6.50000	-0.35010	18.46973	-47.1909965	26.445239
						3.50000	-0.34000	32.92600	6.50000	-0.34010	8.10098	-61.4096268	26.450458
						3.60000	-0.33000	32.92700	6.50000	-0.33010	5.26485	-59.2056970	26.450829
						3.70000	-0.33000	32.92900	6.50000	-0.33011	21.79185	-45.2810283	26.452446
						3.80000	-0.32000	32.98200	6.50000	-0.32011	23.20383	-51.4599412	26.494808
						3.90000	-0.30000	32.98700	6.50000	-0.30011	0.23190	44.0316756	26.497965
						4.00000	-0.29000	32.98400	6.50000	-0.29012	5.14989	49.2202118	26.495100
						4.10000	-0.28000	33.00000	6.50000	-0.28012	27.66814	-46.6018048	26.507574
						4.20000	-0.26000	33.05100	6.50000	-0.26012	30.90655	-46.3854690	26.547856
						4.40000	-0.24000	33.08900	6.50000	-0.24013	0.75073	101.3479671	26.577634
						4.50000	-0.21000	33.08700	6.50000	-0.21014	-20.78457	156.0238252	26.574653
						4.60000	-0.19000	33.04800	6.50000	-0.19014	-2.76538	45.2635877	26.542252
						4.70000	-0.18000	33.07600	6.50000	-0.18014	11.27008	0.6306675	26.564393
						4.80000	-0.17000	33.07600	6.50000	-0.17015	-10.68217	94.2095919	26.563930
						4.90000	-0.15000	33.06500	6.50000	-0.15015	-0.42752	48.0061068	26.554122
						5.00000	-0.15000	33.07600	6.50000	-0.15015	21.27935	-45.6025903	26.563001
						5.10000	-0.14000	33.10300	6.50000	-0.14016	14.55645	-60.7272994	26.584325
						5.20000	-0.13000	33.10400	6.50000	-0.13016	-3.13997	35.3989201	26.584663
						5.30000	-0.12000	33.10100	6.50000	-0.12016	-11.69330	142.9148318	26.581773
						5.40000	-0.11000	33.09400	6.40000	-0.11017	6.48061	46.8233581	26.575653
						5.50000	-0.10000	33.12300	6.40000	-0.10017	25.05205	-46.3366190	26.598580
						5.60000	-0.09000	33.14500	6.40000	-0.09017	5.90941	52.5046632	26.615857
						5.70000	-0.07000	33.14100	6.40000	-0.07018	-9.78520	151.5719737	26.611673
						5.80000	-0.06000	33.13900	6.40000	-0.06018	-8.10810	151.6317475	26.609581
						5.90000	-0.05000	33.13700	6.40000	-0.05019	-6.00387	147.4922770	26.607488
						6.00000	-0.04000	33.13700	6.40000	-0.04019	-5.50971	139.1694534	26.607006
						6.10000	-0.04000	33.13500	6.40000	-0.04019	-8.33392	140.6765525	26.605390
						6.20000	-0.03000	33.13200	6.40000	-0.03020	0.25868	50.6809471	26.602488
						6.30000	-0.03000	33.13600	6.40000	-0.03020	10.87403	-47.8562608	26.605716
						6.40000	-0.02000	33.14200	6.40000	-0.02020	18.66927	-47.8573500	26.610069
						6.50000	-0.02000	33.16800	6.40000	-0.02021	1.97693	45.9773295	26.631043
						6.60000	-0.01000	33.15000	6.40000	-0.01021	-17.31705	138.8639941	26.616038
						6.70000	0.00000	33.14400	6.40000	-0.00021	1.87538	47.9014058	26.610710
						6.80000	0.00000	33.15500	6.40000	-0.00022	15.18003	-47.1625976	26.619581
						6.90000	0.01000	33.16300	6.40000	0.00978	11.19623	-47.1611633	26.625544
						7.00000	0.01000	33.16600	6.40000	0.00977	8.98671	-49.3304854	26.627965
						7.10000	0.02000	33.17000	6.40000	0.01977	1.07179	40.6648237	26.630698
						7.20000	0.02000	33.16800	6.40000	0.01977	-10.49739	137.5124649	26.629086
						7.30000	0.03000	33.16100	6.40000	0.02976	-12.56604	137.5142038	26.622948
						7.40000	0.03000	33.15600	6.40000	0.02976	-9.98113	135.0111429	26.618914
						7.50000	0.03000	33.15300	6.40000	0.02976	-10.51760	135.0113278	26.616496
						7.60000	0.03000	33.14700	6.40000	0.02975	-10.51759	135.0113234	26.611656
						7.70000	0.03000	33.14400	6.40000	0.02975	5.58298	46.1824037	26.609237
						7.80000	0.02000	33.15900	6.40000	0.01975	12.89912	-52.3410962	26.621826
						7.90000	0.03000	33.16100	6.40000	0.02974	-6.10921	36.4885713	26.622946
						8.00000	0.03000	33.14800	6.40000	0.02974	-10.90771	75.0212436	26.612461
						8.20000	0.03000	33.14900	6.40000	0.02973	-3.99503	67.3206283	26.613266
						8.30000	0.02000	33.14600	6.40000	0.01973	0.47035	39.2399266	26.611339
